Data from sienaBrucWhite_Reflection__3__57.txt Node;
"Date: Thu Sep 11 17:17:03 CEST 2025 User: sycur";
556,817;8,12
557,064;8,15
557,311;8,2
557,557;8,23
557,804;8,28
558,051;8,31
558,298;8,36
558,544;8,4
558,791;8,45
559,038;8,49
559,284;8,54
559,531;8,58
559,778;8,63
560,024;8,68
560,271;8,72
560,517;8,76
560,764;8,81
561,011;8,86
561,257;8,91
561,504;8,95
561,75;9,01
561,997;9,06
562,243;9,12
562,489;9,17
562,736;9,22
562,982;9,26
563,229;9,31
563,475;9,35
563,721;9,41
563,968;9,46
564,214;9,52
564,46;9,57
564,707;9,64
564,953;9,69
565,199;9,76
565,445;9,83
565,691;9,91
565,938;9,97
566,184;10,04
566,43;10,11
566,676;10,19
566,922;10,26
567,168;10,34
567,414;10,42
567,66;10,51
567,906;10,58
568,152;10,66
568,398;10,75
568,644;10,84
568,89;10,91
569,136;11
569,382;11,08
569,628;11,17
569,874;11,24
570,12;11,33
570,366;11,41
570,612;11,5
570,857;11,57
571,103;11,65
571,349;11,73
571,595;11,81
571,84;11,89
572,086;11,97
572,332;12,06
572,578;12,14
572,823;12,21
573,069;12,29
573,315;12,36
573,56;12,44
573,806;12,5
574,051;12,59
574,297;12,66
574,542;12,74
574,788;12,81
575,034;12,89
575,279;12,96
575,524;13,04
575,77;13,11
576,015;13,19
576,261;13,26
576,506;13,33
576,752;13,39
576,997;13,47
577,242;13,53
577,488;13,6
577,733;13,66
577,978;13,73
578,223;13,81
578,469;13,89
578,714;13,98
578,959;14,07
579,204;14,14
579,45;14,23
579,695;14,31
579,94;14,39
580,185;14,46
580,43;14,53
580,675;14,59
580,92;14,66
581,165;14,73
581,41;14,8
581,655;14,86
581,9;14,94
582,145;15
582,39;15,08
582,635;15,15
582,88;15,23
583,125;15,31
583,37;15,39
583,615;15,45
583,86;15,52
584,105;15,59
584,349;15,66
584,594;15,72
584,839;15,79
585,084;15,85
585,328;15,92
585,573;15,99
585,818;16,06
586,063;16,13
586,307;16,2
586,552;16,26
586,797;16,33
587,041;16,39
587,286;16,46
587,53;16,53
587,775;16,59
588,019;16,65
588,264;16,72
588,508;16,79
588,753;16,85
588,997;16,92
589,242;16,98
589,486;17,06
589,731;17,14
589,975;17,21
590,22;17,3
590,464;17,38
590,708;17,46
590,953;17,54
591,197;17,62
591,441;17,7
591,685;17,79
591,93;17,87
592,174;17,95
592,418;18,03
