Data from IndigoWhite_Reflection__3__55.txt Node;
"Date: Fri Sep 12 11:53:23 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
563,968;1,38
564,214;1,37
564,46;1,38
564,707;1,38
564,953;1,38
565,199;1,37
565,445;1,38
565,691;1,39
565,938;1,38
566,184;1,38
566,43;1,38
566,676;1,37
566,922;1,36
567,168;1,36
567,414;1,36
567,66;1,36
567,906;1,36
568,152;1,36
568,398;1,36
568,644;1,37
568,89;1,36
569,136;1,37
569,382;1,37
569,628;1,36
569,874;1,36
570,12;1,37
570,366;1,37
570,612;1,37
570,857;1,37
571,103;1,37
571,349;1,37
571,595;1,39
571,84;1,39
572,086;1,39
572,332;1,4
572,578;1,4
572,823;1,4
573,069;1,4
573,315;1,4
573,56;1,4
573,806;1,4
574,051;1,41
574,297;1,4
574,542;1,4
574,788;1,4
575,034;1,41
575,279;1,41
575,524;1,41
575,77;1,41
576,015;1,41
576,261;1,41
576,506;1,41
576,752;1,4
576,997;1,4
577,242;1,4
577,488;1,4
577,733;1,39
577,978;1,39
578,223;1,39
578,469;1,39
578,714;1,38
578,959;1,38
579,204;1,38
579,45;1,39
579,695;1,39
579,94;1,39
580,185;1,38
580,43;1,39
580,675;1,38
580,92;1,39
581,165;1,38
581,41;1,38
581,655;1,38
581,9;1,38
582,145;1,39
582,39;1,38
582,635;1,38
582,88;1,39
583,125;1,39
583,37;1,39
583,615;1,38
583,86;1,38
584,105;1,38
584,349;1,37
584,594;1,37
584,839;1,37
585,084;1,37
585,328;1,37
585,573;1,37
585,818;1,36
586,063;1,36
586,307;1,36
586,552;1,36
586,797;1,36
587,041;1,36
587,286;1,36
587,53;1,36
587,775;1,36
588,019;1,36
588,264;1,36
588,508;1,36
588,753;1,36
588,997;1,36
589,242;1,37
589,486;1,37
589,731;1,37
589,975;1,37
590,22;1,37
590,464;1,36
590,708;1,36
590,953;1,36
591,197;1,36
591,441;1,37
591,685;1,36
591,93;1,35
592,174;1,36
592,418;1,35
592,662;1,36
592,907;1,36
593,151;1,36
593,395;1,36
593,639;1,36
593,883;1,36
594,127;1,36
594,371;1,36
594,615;1,36
594,859;1,36
595,103;1,36
595,347;1,37
595,591;1,37
595,835;1,37
596,079;1,37
596,323;1,37
596,567;1,36
596,811;1,37
597,055;1,37
597,299;1,37
597,542;1,37
597,786;1,36
598,03;1,36
598,274;1,36
598,518;1,37
598,761;1,37
599,005;1,36
