Data from malachiteVSwhite_Reflection__0__48.txt Node;
"Date: Wed Sep 10 12:48:53 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 1,000000E-2 Scans to average: 10 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
516,344;43,23
516,593;43,22
516,843;43,24
517,093;43,23
517,343;43,26
517,592;43,27
517,842;43,28
518,092;43,3
518,341;43,31
518,591;43,33
518,84;43,31
519,09;43,34
519,34;43,35
519,589;43,34
519,839;43,33
520,088;43,35
520,338;43,39
520,587;43,39
520,836;43,36
521,086;43,36
521,335;43,32
521,585;43,32
521,834;43,34
522,083;43,31
522,333;43,31
522,582;43,32
522,831;43,31
523,081;43,33
523,33;43,29
523,579;43,3
523,828;43,31
524,078;43,3
524,327;43,3
524,576;43,28
524,825;43,28
525,074;43,29
525,323;43,29
525,573;43,32
525,822;43,32
526,071;43,33
526,32;43,35
526,569;43,32
526,818;43,36
527,067;43,36
527,316;43,34
527,565;43,38
527,814;43,36
528,063;43,36
528,312;43,33
528,56;43,32
528,809;43,3
529,058;43,31
529,307;43,34
529,556;43,32
529,805;43,32
530,053;43,35
530,302;43,34
530,551;43,33
530,8;43,31
531,048;43,3
531,297;43,29
531,546;43,25
531,794;43,29
532,043;43,22
532,292;43,2
532,54;43,22
532,789;43,19
533,037;43,16
533,286;43,11
533,535;43,1
533,783;43,1
534,032;43,08
534,28;43,03
534,528;43
534,777;43
535,025;43,01
535,274;42,91
535,522;42,88
535,771;42,84
536,019;42,81
536,267;42,8
536,516;42,76
536,764;42,77
537,012;42,75
537,26;42,73
537,509;42,72
537,757;42,69
538,005;42,65
538,253;42,62
538,501;42,64
538,75;42,57
538,998;42,53
539,246;42,53
539,494;42,5
539,742;42,46
539,99;42,4
540,238;42,33
540,486;42,34
540,734;42,26
540,982;42,22
541,23;42,21
541,478;42,15
541,726;42,09
541,974;42,05
542,222;42,02
542,47;41,99
542,718;41,96
542,966;41,9
543,213;41,86
