Data from ombraBrucWhite_Reflection__4__68.txt Node;
"Date: Thu Sep 11 17:29:53 CEST 2025 User: sycur";
585,818;14,45
586,063;14,45
586,307;14,45
586,552;14,45
586,797;14,46
587,041;14,46
587,286;14,46
587,53;14,44
587,775;14,44
588,019;14,43
588,264;14,45
588,508;14,43
588,753;14,44
588,997;14,44
589,242;14,45
589,486;14,44
589,731;14,46
589,975;14,46
590,22;14,48
590,464;14,49
590,708;14,54
590,953;14,54
591,197;14,56
591,441;14,57
591,685;14,59
591,93;14,6
592,174;14,63
592,418;14,65
592,662;14,69
592,907;14,7
593,151;14,74
593,395;14,74
593,639;14,76
593,883;14,78
594,127;14,8
594,371;14,81
594,615;14,82
594,859;14,82
595,103;14,85
595,347;14,85
595,591;14,84
595,835;14,83
596,079;14,82
596,323;14,83
596,567;14,85
596,811;14,85
597,055;14,88
597,299;14,88
597,542;14,9
597,786;14,91
598,03;14,94
598,274;14,94
598,518;14,97
598,761;14,99
599,005;15
599,249;15,01
599,492;15,03
599,736;15,05
599,98;15,07
600,223;15,06
600,467;15,08
600,711;15,11
600,954;15,13
601,198;15,16
601,441;15,17
601,685;15,18
601,928;15,22
602,172;15,21
602,415;15,23
602,659;15,24
602,902;15,25
603,145;15,24
603,389;15,26
603,632;15,25
603,876;15,26
604,119;15,27
604,362;15,28
604,606;15,28
604,849;15,29
605,092;15,3
605,335;15,31
605,579;15,3
605,822;15,32
606,065;15,32
606,308;15,34
606,551;15,34
606,794;15,35
607,037;15,34
607,281;15,36
607,524;15,39
607,767;15,4
608,01;15,39
608,253;15,4
608,496;15,41
608,739;15,44
608,982;15,44
609,225;15,44
609,468;15,45
609,711;15,47
609,953;15,48
610,196;15,48
610,439;15,5
610,682;15,53
610,925;15,52
611,168;15,53
611,41;15,52
611,653;15,55
611,896;15,54
612,139;15,57
612,381;15,56
612,624;15,55
612,867;15,54
613,109;15,56
613,352;15,56
613,595;15,57
613,837;15,56
614,08;15,56
614,322;15,57
614,565;15,58
614,807;15,59
615,05;15,59
615,292;15,6
615,535;15,61
615,777;15,61
616,02;15,63
616,262;15,64
616,505;15,65
616,747;15,64
616,989;15,66
617,232;15,66
617,474;15,67
617,716;15,68
617,959;15,71
618,201;15,72
618,443;15,74
618,685;15,74
618,927;15,75
619,17;15,77
619,412;15,79
619,654;15,79
619,896;15,81
620,138;15,83
620,38;15,85
620,622;15,87
620,864;15,9
621,107;15,9
621,349;15,91
621,591;15,93
621,833;15,96
622,075;15,98
622,316;16
622,558;16,01
622,8;16,02
623,042;16,01
623,284;16,04
623,526;16,05
623,768;16,08
624,01;16,09
624,251;16,11
