Data from crisocollaWhite_Reflection__1__59.txt Node;
"Date: Fri Sep 12 11:59:01 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
571,103;64,77
571,349;64,72
571,595;64,69
571,84;64,65
572,086;64,62
572,332;64,56
572,578;64,55
572,823;64,51
573,069;64,46
573,315;64,45
573,56;64,44
573,806;64,43
574,051;64,43
574,297;64,4
574,542;64,39
574,788;64,37
575,034;64,35
575,279;64,32
575,524;64,28
575,77;64,25
576,015;64,22
576,261;64,19
576,506;64,17
576,752;64,14
576,997;64,11
577,242;64,09
577,488;64,08
577,733;64,05
577,978;64,05
578,223;64,04
578,469;64
578,714;63,97
578,959;63,94
579,204;63,91
579,45;63,86
579,695;63,82
579,94;63,78
580,185;63,75
580,43;63,71
580,675;63,69
580,92;63,67
581,165;63,66
581,41;63,65
581,655;63,63
581,9;63,62
582,145;63,6
582,39;63,59
582,635;63,57
582,88;63,54
583,125;63,5
583,37;63,48
583,615;63,46
583,86;63,45
584,105;63,42
584,349;63,4
584,594;63,39
584,839;63,39
585,084;63,39
585,328;63,39
585,573;63,39
585,818;63,38
586,063;63,36
586,307;63,34
586,552;63,32
586,797;63,3
587,041;63,29
587,286;63,27
587,53;63,25
587,775;63,22
588,019;63,22
588,264;63,19
588,508;63,18
588,753;63,16
588,997;63,14
589,242;63,13
589,486;63,13
589,731;63,12
589,975;63,11
590,22;63,08
590,464;63,05
590,708;63,01
590,953;62,98
591,197;62,95
591,441;62,92
591,685;62,89
591,93;62,86
592,174;62,81
592,418;62,78
592,662;62,75
592,907;62,73
593,151;62,69
593,395;62,66
593,639;62,61
593,883;62,59
594,127;62,55
594,371;62,49
594,615;62,44
594,859;62,4
595,103;62,36
595,347;62,31
595,591;62,28
595,835;62,23
596,079;62,19
596,323;62,16
596,567;62,11
596,811;62,06
597,055;62,03
597,299;62
597,542;61,97
597,786;61,92
598,03;61,88
598,274;61,83
598,518;61,8
598,761;61,78
599,005;61,73
599,249;61,69
599,492;61,67
599,736;61,65
