Data from crisocollaWhite_Reflection__2__60.txt Node;
"Date: Fri Sep 12 11:59:42 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
522,831;43,75
523,081;43,77
523,33;43,82
523,579;43,85
523,828;43,88
524,078;43,89
524,327;43,91
524,576;43,95
524,825;43,97
525,074;44,01
525,323;44,03
525,573;44,07
525,822;44,08
526,071;44,11
526,32;44,14
526,569;44,16
526,818;44,19
527,067;44,2
527,316;44,22
527,565;44,25
527,814;44,25
528,063;44,27
528,312;44,3
528,56;44,31
528,809;44,32
529,058;44,35
529,307;44,37
529,556;44,4
529,805;44,41
530,053;44,44
530,302;44,45
530,551;44,47
530,8;44,48
531,048;44,51
531,297;44,51
531,546;44,53
531,794;44,56
532,043;44,59
532,292;44,6
532,54;44,62
532,789;44,63
533,037;44,66
533,286;44,67
533,535;44,69
533,783;44,7
534,032;44,75
534,28;44,76
534,528;44,79
534,777;44,8
535,025;44,81
535,274;44,82
535,522;44,83
535,771;44,84
536,019;44,86
536,267;44,86
536,516;44,88
536,764;44,89
537,012;44,9
537,26;44,92
537,509;44,93
537,757;44,92
538,005;44,94
538,253;44,97
538,501;44,97
538,75;44,96
538,998;45
539,246;44,99
539,494;45
539,742;45
539,99;45,02
540,238;45,05
540,486;45,04
540,734;45,05
540,982;45,06
541,23;45,08
541,478;45,1
541,726;45,11
541,974;45,13
542,222;45,12
542,47;45,13
542,718;45,15
542,966;45,17
543,213;45,18
543,461;45,18
543,709;45,19
543,957;45,2
544,205;45,2
544,452;45,21
544,7;45,23
544,948;45,23
545,196;45,23
545,443;45,23
545,691;45,24
545,939;45,27
546,186;45,27
546,434;45,27
546,681;45,28
546,929;45,28
547,176;45,29
547,424;45,32
547,671;45,33
547,919;45,35
548,166;45,36
548,414;45,39
548,661;45,39
548,909;45,4
549,156;45,42
549,404;45,41
549,651;45,43
549,898;45,42
550,146;45,44
550,393;45,46
550,64;45,47
