Data from TV_VeronaWhite_Reflection__3__16.txt Node;
"Date: Thu Sep 11 15:50:24 CEST 2025 User: sycur";
434,502;9,47
434,758;9,5
435,013;9,53
435,268;9,59
435,524;9,64
435,779;9,69
436,034;9,72
436,29;9,76
436,545;9,81
436,8;9,85
437,056;9,9
437,311;9,92
437,566;9,96
437,821;9,99
438,076;10,01
438,331;10,05
438,587;10,08
438,842;10,1
439,097;10,15
439,352;10,19
439,607;10,24
439,862;10,29
440,117;10,33
440,372;10,38
440,627;10,39
440,882;10,41
441,137;10,45
441,392;10,51
441,647;10,56
441,902;10,6
442,157;10,63
442,412;10,67
442,667;10,7
442,921;10,74
443,176;10,78
443,431;10,83
443,686;10,87
443,941;10,91
444,195;10,97
444,45;11,01
444,705;11,03
444,96;11,08
445,214;11,11
445,469;11,15
445,724;11,18
445,978;11,24
446,233;11,27
446,487;11,29
446,742;11,32
446,997;11,35
447,251;11,37
447,506;11,4
447,76;11,41
448,015;11,45
448,269;11,47
448,524;11,5
448,778;11,51
449,033;11,55
449,287;11,58
449,541;11,61
449,796;11,61
450,05;11,64
450,305;11,66
450,559;11,69
450,813;11,72
451,067;11,74
451,322;11,77
451,576;11,8
451,83;11,84
452,084;11,86
452,339;11,9
452,593;11,92
452,847;11,95
453,101;11,98
453,355;12,02
453,609;12,03
453,864;12,06
454,118;12,1
454,372;12,12
454,626;12,16
454,88;12,19
455,134;12,24
455,388;12,27
455,642;12,3
455,896;12,33
456,15;12,37
456,404;12,4
456,658;12,45
456,912;12,46
457,165;12,5
457,419;12,55
457,673;12,57
457,927;12,6
458,181;12,65
458,435;12,7
458,688;12,73
458,942;12,77
459,196;12,8
459,45;12,83
459,703;12,88
459,957;12,91
460,211;12,92
460,464;12,93
460,718;12,98
460,972;13,02
461,225;13,07
461,479;13,1
461,732;13,13
461,986;13,15
462,239;13,21
462,493;13,27
462,746;13,3
463;13,35
463,253;13,42
463,507;13,45
463,76;13,49
464,014;13,53
464,267;13,57
464,52;13,62
464,774;13,68
465,027;13,69
465,28;13,74
465,534;13,77
465,787;13,81
466,04;13,84
466,294;13,87
466,547;13,89
466,8;13,93
467,053;13,94
467,306;13,98
467,56;14
467,813;14,02
468,066;14,06
468,319;14,09
468,572;14,09
468,825;14,13
469,078;14,15
469,331;14,17
469,584;14,21
469,837;14,26
470,09;14,29
470,343;14,34
470,596;14,4
470,849;14,45
471,102;14,49
471,355;14,54
471,608;14,6
471,861;14,68
472,114;14,73
472,367;14,8
472,619;14,86
472,872;14,93
473,125;14,97
473,378;15,02
473,631;15,07
473,883;15,14
474,136;15,18
474,389;15,23
474,641;15,28
474,894;15,35
475,147;15,39
475,399;15,45
475,652;15,5
475,905;15,53
476,157;15,59
476,41;15,65
476,662;15,7
476,915;15,74
477,167;15,76
477,42;15,81
477,672;15,85
477,925;15,91
478,177;15,96
478,43;16,02
478,682;16,07
478,934;16,11
479,187;16,15
479,439;16,21
479,691;16,26
479,944;16,31
480,196;16,35
480,448;16,39
480,701;16,43
480,953;16,48
481,205;16,53
481,457;16,58
481,709;16,65
481,962;16,71
482,214;16,79
482,466;16,91
482,718;17,03
482,97;17,17
483,222;17,3
483,474;17,41
483,726;17,53
483,978;17,64
484,23;17,73
484,482;17,79
484,734;17,84
484,986;17,89
485,238;17,94
485,49;17,99
485,742;18,02
485,994;18,07
486,246;18,09
486,498;18,12
486,75;18,15
487,001;18,17
487,253;18,19
487,505;18,21
487,757;18,21
488,009;18,19
488,26;18,17
488,512;18,13
488,764;18,09
489,015;18,06
489,267;18,02
489,519;17,99
489,77;17,99
490,022;18
490,274;18,01
490,525;18,02
490,777;18,02
491,028;18,04
491,28;18,06
491,531;18,1
491,783;18,13
492,034;18,17
492,286;18,19
492,537;18,22
492,789;18,24
493,04;18,28
493,291;18,31
493,543;18,35
493,794;18,39
494,045;18,43
494,297;18,47
494,548;18,51
494,799;18,56
495,051;18,59
495,302;18,63
495,553;18,68
495,804;18,72
496,056;18,77
496,307;18,8
496,558;18,84
496,809;18,88
497,06;18,91
497,311;18,95
497,562;18,99
497,813;19,03
498,064;19,08
498,316;19,13
498,567;19,16
498,818;19,19
499,069;19,23
499,319;19,27
499,57;19,28
499,821;19,31
500,072;19,36
500,323;19,4
500,574;19,44
500,825;19,47
501,076;19,52
501,327;19,56
501,577;19,61
501,828;19,65
502,079;19,69
502,33;19,73
502,58;19,76
502,831;19,8
503,082;19,86
503,333;19,9
503,583;19,94
503,834;19,99
504,084;20,03
504,335;20,06
504,586;20,1
504,836;20,15
505,087;20,21
505,337;20,24
505,588;20,28
505,838;20,31
506,089;20,36
506,339;20,41
506,59;20,45
506,84;20,48
507,091;20,53
507,341;20,55
507,591;20,6
507,842;20,65
508,092;20,7
508,343;20,72
508,593;20,76
508,843;20,79
509,093;20,83
509,344;20,87
509,594;20,92
509,844;20,95
510,094;20,99
510,345;21,02
510,595;21,06
510,845;21,1
511,095;21,15
511,345;21,18
511,595;21,21
511,845;21,25
512,095;21,3
512,345;21,33
512,595;21,38
512,845;21,41
513,095;21,45
513,345;21,48
513,595;21,52
513,845;21,56
514,095;21,62
514,345;21,65
514,595;21,7
514,845;21,74
515,095;21,8
515,345;21,84
515,594;21,88
515,844;21,92
516,094;21,97
516,344;22,01
516,593;22,05
516,843;22,09
517,093;22,13
517,343;22,17
517,592;22,22
517,842;22,27
518,092;22,31
518,341;22,36
518,591;22,41
518,84;22,47
519,09;22,51
519,34;22,54
519,589;22,59
519,839;22,61
520,088;22,65
520,338;22,68
520,587;22,73
520,836;22,77
521,086;22,81
521,335;22,83
521,585;22,87
521,834;22,91
522,083;22,95
522,333;22,98
522,582;23,03
522,831;23,07
523,081;23,11
523,33;23,15
523,579;23,18
523,828;23,22
524,078;23,25
524,327;23,27
524,576;23,33
524,825;23,37
525,074;23,43
525,323;23,46
525,573;23,5
525,822;23,54
526,071;23,58
526,32;23,64
526,569;23,69
526,818;23,74
527,067;23,78
527,316;23,81
527,565;23,85
527,814;23,87
528,063;23,92
528,312;23,95
528,56;23,99
528,809;24,01
529,058;24,06
529,307;24,09
529,556;24,15
529,805;24,18
530,053;24,21
530,302;24,24
530,551;24,29
530,8;24,34
531,048;24,38
531,297;24,41
531,546;24,45
531,794;24,48
532,043;24,51
532,292;24,55
532,54;24,61
532,789;24,64
533,037;24,69
533,286;24,72
533,535;24,75
533,783;24,78
534,032;24,82
534,28;24,84
534,528;24,89
534,777;24,91
535,025;24,95
535,274;24,97
535,522;25
535,771;25,02
536,019;25,05
536,267;25,08
536,516;25,12
536,764;25,15
537,012;25,18
537,26;25,22
537,509;25,24
537,757;25,26
538,005;25,3
538,253;25,32
538,501;25,36
538,75;25,39
538,998;25,42
539,246;25,45
539,494;25,48
539,742;25,51
539,99;25,53
540,238;25,54
540,486;25,58
540,734;25,61
540,982;25,64
541,23;25,68
541,478;25,69
541,726;25,71
541,974;25,73
542,222;25,76
542,47;25,78
542,718;25,82
542,966;25,86
543,213;25,87
543,461;25,9
543,709;25,91
543,957;25,94
544,205;25,96
544,452;25,98
544,7;25,99
544,948;26,01
545,196;26,04
545,443;26,08
545,691;26,1
545,939;26,12
546,186;26,14
546,434;26,16
546,681;26,2
546,929;26,22
547,176;26,23
547,424;26,25
547,671;26,26
547,919;26,27
548,166;26,27
548,414;26,3
548,661;26,31
548,909;26,34
549,156;26,36
549,404;26,38
549,651;26,42
549,898;26,45
550,146;26,47
550,393;26,49
550,64;26,52
550,888;26,55
551,135;26,57
551,382;26,59
551,629;26,61
551,876;26,63
552,124;26,65
552,371;26,68
552,618;26,7
552,865;26,72
553,112;26,75
553,359;26,78
553,606;26,79
553,854;26,81
554,101;26,82
554,348;26,83
554,595;26,85
554,842;26,85
555,089;26,86
555,336;26,88
555,582;26,9
555,829;26,91
556,076;26,92
556,323;26,93
556,57;26,94
556,817;26,96
557,064;26,96
557,311;26,97
557,557;26,98
557,804;27
558,051;27
558,298;27,01
558,544;27,02
558,791;27,04
559,038;27,07
559,284;27,08
559,531;27,1
559,778;27,12
560,024;27,13
560,271;27,14
560,517;27,14
560,764;27,15
561,011;27,17
561,257;27,18
561,504;27,19
561,75;27,2
561,997;27,21
562,243;27,23
562,489;27,25
562,736;27,27
562,982;27,27
563,229;27,29
563,475;27,3
563,721;27,3
563,968;27,31
564,214;27,32
564,46;27,33
564,707;27,33
564,953;27,33
565,199;27,35
565,445;27,37
565,691;27,39
565,938;27,41
566,184;27,42
566,43;27,43
566,676;27,45
566,922;27,47
567,168;27,48
567,414;27,5
567,66;27,52
567,906;27,53
568,152;27,55
568,398;27,58
568,644;27,61
568,89;27,63
569,136;27,66
569,382;27,68
569,628;27,71
569,874;27,72
570,12;27,74
570,366;27,76
570,612;27,78
570,857;27,8
571,103;27,81
571,349;27,84
571,595;27,86
571,84;27,88
572,086;27,91
572,332;27,93
572,578;27,95
572,823;27,96
573,069;27,97
573,315;27,99
573,56;28
573,806;27,99
574,051;28,01
574,297;28,02
574,542;28,03
574,788;28,04
575,034;28,06
575,279;28,08
575,524;28,09
575,77;28,1
576,015;28,12
576,261;28,13
576,506;28,13
576,752;28,14
576,997;28,14
577,242;28,13
577,488;28,14
577,733;28,13
577,978;28,14
578,223;28,15
578,469;28,16
578,714;28,18
578,959;28,19
579,204;28,2
579,45;28,22
579,695;28,23
579,94;28,24
580,185;28,25
580,43;28,25
580,675;28,26
580,92;28,26
581,165;28,25
581,41;28,25
581,655;28,24
581,9;28,24
582,145;28,24
582,39;28,24
582,635;28,24
582,88;28,26
583,125;28,26
583,37;28,27
583,615;28,26
583,86;28,25
584,105;28,25
584,349;28,24
584,594;28,22
584,839;28,21
585,084;28,2
585,328;28,19
585,573;28,18
585,818;28,18
586,063;28,17
586,307;28,16
586,552;28,16
586,797;28,16
587,041;28,16
587,286;28,16
587,53;28,15
587,775;28,15
588,019;28,13
588,264;28,13
588,508;28,11
588,753;28,09
588,997;28,1
589,242;28,08
589,486;28,07
589,731;28,07
589,975;28,06
590,22;28,06
590,464;28,06
590,708;28,07
590,953;28,06
591,197;28,07
591,441;28,08
591,685;28,08
591,93;28,08
592,174;28,08
592,418;28,07
592,662;28,08
592,907;28,08
593,151;28,08
593,395;28,08
593,639;28,08
593,883;28,09
594,127;28,08
594,371;28,08
594,615;28,09
594,859;28,09
595,103;28,09
595,347;28,08
595,591;28,07
595,835;28,05
596,079;28,05
596,323;28,04
596,567;28,04
596,811;28,04
597,055;28,03
597,299;28,02
597,542;28,04
597,786;28,04
598,03;28,04
598,274;28,04
598,518;28,04
598,761;28,05
599,005;28,05
599,249;28,05
599,492;28,04
599,736;28,04
599,98;28,04
600,223;28,04
600,467;28,05
600,711;28,05
600,954;28,06
601,198;28,07
601,441;28,07
601,685;28,07
601,928;28,07
602,172;28,07
602,415;28,07
602,659;28,07
602,902;28,07
603,145;28,07
603,389;28,07
603,632;28,07
603,876;28,07
604,119;28,06
604,362;28,07
604,606;28,07
604,849;28,08
605,092;28,08
605,335;28,08
605,579;28,08
605,822;28,07
606,065;28,07
606,308;28,07
606,551;28,07
606,794;28,07
607,037;28,07
607,281;28,08
607,524;28,07
607,767;28,07
608,01;28,05
608,253;28,06
608,496;28,06
608,739;28,07
608,982;28,06
609,225;28,07
609,468;28,06
609,711;28,06
609,953;28,04
610,196;28,03
610,439;28,03
610,682;28,03
610,925;28,04
611,168;28,04
611,41;28,04
611,653;28,04
611,896;28,04
612,139;28,02
612,381;28,01
612,624;28,02
612,867;28,01
613,109;28,02
613,352;28,01
613,595;28,01
613,837;28
614,08;27,99
614,322;27,98
614,565;27,98
614,807;27,98
615,05;27,99
615,292;27,98
615,535;27,98
615,777;27,97
616,02;27,97
616,262;27,96
616,505;27,95
616,747;27,93
616,989;27,93
617,232;27,94
617,474;27,94
617,716;27,93
617,959;27,92
618,201;27,93
618,443;27,93
618,685;27,91
618,927;27,92
619,17;27,92
619,412;27,93
619,654;27,92
619,896;27,92
620,138;27,93
620,38;27,92
620,622;27,93
620,864;27,95
621,107;27,96
621,349;27,96
621,591;27,97
621,833;27,98
622,075;27,98
622,316;27,99
622,558;28
622,8;28
623,042;28,01
623,284;28,02
623,526;28,03
623,768;28,05
