Data from CoccinigliaWhite_Reflection__1__47.txt Node;
"Date: Fri Sep 12 11:37:40 CEST 2025 User: sycur Spectrometer: SR400348 Trigger mode: 0 Integration Time (sec): 2,000000E-2 Scans to average: 20 Electric dark correction enabled: true Nonlinearity correction enabled: false Boxcar width: 10 XAxis mode: Wavelengths Number of Pixels in Spectrum: 3648 >>>>>Begin Spectral Data<<<<<";
465,787;1,02
466,04;1,02
466,294;1
466,547;1,02
466,8;1,03
467,053;1,01
467,306;1,01
467,56;1,01
467,813;1,01
468,066;1
468,319;1,02
468,572;1,02
468,825;1,03
469,078;1,03
469,331;1,01
469,584;1,02
469,837;1,02
470,09;1,02
470,343;1,01
470,596;0,99
470,849;0,99
471,102;0,98
471,355;0,98
471,608;0,98
471,861;0,96
472,114;0,94
472,367;0,94
472,619;0,93
472,872;0,92
473,125;0,91
473,378;0,9
473,631;0,89
473,883;0,88
474,136;0,88
474,389;0,87
474,641;0,86
474,894;0,86
475,147;0,85
475,399;0,84
475,652;0,85
475,905;0,85
476,157;0,82
476,41;0,82
476,662;0,83
476,915;0,83
477,167;0,83
477,42;0,84
477,672;0,84
477,925;0,84
478,177;0,85
478,43;0,84
478,682;0,85
478,934;0,85
479,187;0,85
479,439;0,85
479,691;0,86
479,944;0,87
480,196;0,86
480,448;0,88
480,701;0,87
480,953;0,87
481,205;0,88
481,457;0,88
481,709;0,88
481,962;0,88
482,214;0,88
482,466;0,89
482,718;0,87
482,97;0,88
483,222;0,88
483,474;0,88
483,726;0,88
483,978;0,88
484,23;0,87
484,482;0,87
484,734;0,87
484,986;0,86
485,238;0,86
485,49;0,86
485,742;0,86
485,994;0,86
486,246;0,85
486,498;0,85
486,75;0,85
487,001;0,85
487,253;0,84
487,505;0,84
487,757;0,84
488,009;0,85
488,26;0,85
488,512;0,85
488,764;0,84
489,015;0,83
489,267;0,83
489,519;0,82
489,77;0,81
490,022;0,81
490,274;0,81
490,525;0,81
490,777;0,8
491,028;0,79
491,28;0,79
491,531;0,78
491,783;0,79
