Data from verderameWhite_Reflection__4__26.txt Node;
"Date: Thu Sep 11 16:28:01 CEST 2025 User: sycur";
601,685;42,64
601,928;42,59
602,172;42,53
602,415;42,47
602,659;42,4
602,902;42,34
603,145;42,28
603,389;42,23
603,632;42,17
603,876;42,11
604,119;42,05
604,362;41,98
604,606;41,92
604,849;41,86
605,092;41,81
605,335;41,75
605,579;41,69
605,822;41,63
606,065;41,56
606,308;41,51
606,551;41,46
606,794;41,38
607,037;41,32
607,281;41,26
607,524;41,21
607,767;41,16
608,01;41,11
608,253;41,06
608,496;41
608,739;40,94
608,982;40,89
609,225;40,84
609,468;40,79
609,711;40,74
609,953;40,68
610,196;40,62
610,439;40,56
610,682;40,5
610,925;40,44
611,168;40,39
611,41;40,34
611,653;40,29
611,896;40,24
612,139;40,18
612,381;40,14
612,624;40,09
612,867;40,02
613,109;39,96
613,352;39,91
613,595;39,85
613,837;39,78
614,08;39,73
614,322;39,68
614,565;39,63
614,807;39,58
615,05;39,53
615,292;39,49
615,535;39,44
615,777;39,4
616,02;39,35
616,262;39,29
616,505;39,23
616,747;39,17
616,989;39,13
617,232;39,09
617,474;39,03
617,716;38,98
617,959;38,93
618,201;38,89
618,443;38,84
618,685;38,78
618,927;38,74
619,17;38,68
619,412;38,62
619,654;38,56
619,896;38,51
620,138;38,46
620,38;38,4
620,622;38,34
620,864;38,3
621,107;38,24
621,349;38,19
621,591;38,16
621,833;38,09
622,075;38,04
622,316;37,98
622,558;37,94
622,8;37,9
623,042;37,86
623,284;37,82
623,526;37,78
623,768;37,76
624,01;37,71
624,251;37,67
624,493;37,65
624,735;37,62
