Data from GaranzaWhite_Reflection__3__43.txt Node;
512,095;18,98
512,345;19
512,595;19,02
512,845;19,03
513,095;19,07
513,345;19,07
513,595;19,1
513,845;19,11
514,095;19,15
514,345;19,16
514,595;19,19
514,845;19,19
515,095;19,21
515,345;19,24
515,594;19,27
515,844;19,28
516,094;19,3
516,344;19,33
516,593;19,36
516,843;19,37
517,093;19,41
517,343;19,44
517,592;19,46
517,842;19,49
518,092;19,52
518,341;19,52
518,591;19,55
518,84;19,57
519,09;19,61
519,34;19,64
519,589;19,68
519,839;19,7
520,088;19,73
520,338;19,76
520,587;19,78
520,836;19,79
521,086;19,83
521,335;19,87
521,585;19,89
521,834;19,92
522,083;19,97
522,333;20
522,582;20,03
522,831;20,07
523,081;20,1
523,33;20,13
523,579;20,17
523,828;20,22
524,078;20,25
524,327;20,29
524,576;20,32
524,825;20,34
525,074;20,37
525,323;20,4
525,573;20,46
525,822;20,48
526,071;20,52
526,32;20,57
526,569;20,6
526,818;20,63
527,067;20,65
527,316;20,68
527,565;20,72
527,814;20,75
528,063;20,78
528,312;20,82
528,56;20,85
528,809;20,87
529,058;20,91
529,307;20,93
529,556;20,97
529,805;21
530,053;21,04
530,302;21,07
530,551;21,12
530,8;21,14
531,048;21,19
531,297;21,22
531,546;21,24
531,794;21,28
532,043;21,33
532,292;21,37
532,54;21,41
532,789;21,45
533,037;21,5
533,286;21,54
533,535;21,57
533,783;21,6
534,032;21,65
534,28;21,68
534,528;21,71
534,777;21,74
535,025;21,78
535,274;21,81
535,522;21,84
535,771;21,87
536,019;21,91
536,267;21,93
536,516;21,97
536,764;22,01
537,012;22,05
537,26;22,08
537,509;22,13
537,757;22,14
538,005;22,18
538,253;22,2
538,501;22,23
538,75;22,26
538,998;22,31
539,246;22,35
539,494;22,38
539,742;22,41
539,99;22,46
540,238;22,49
540,486;22,52
540,734;22,56
540,982;22,6
541,23;22,63
541,478;22,67
541,726;22,7
541,974;22,74
542,222;22,76
542,47;22,8
542,718;22,83
542,966;22,87
543,213;22,9
543,461;22,95
543,709;22,97
543,957;23,02
544,205;23,06
544,452;23,11
544,7;23,14
544,948;23,19
545,196;23,22
545,443;23,26
545,691;23,3
545,939;23,35
546,186;23,4
546,434;23,44
546,681;23,49
546,929;23,54
547,176;23,59
547,424;23,64
547,671;23,69
547,919;23,75
548,166;23,8
548,414;23,87
548,661;23,92
548,909;23,98
549,156;24,05
549,404;24,09
549,651;24,14
549,898;24,2
550,146;24,25
550,393;24,33
550,64;24,38
550,888;24,45
551,135;24,5
551,382;24,56
551,629;24,62
551,876;24,68
552,124;24,73
552,371;24,8
552,618;24,85
552,865;24,93
553,112;24,97
553,359;25,03
553,606;25,07
553,854;25,14
554,101;25,2
554,348;25,25
554,595;25,3
554,842;25,37
555,089;25,43
555,336;25,5
555,582;25,55
555,829;25,62
556,076;25,67
556,323;25,75
556,57;25,82
556,817;25,91
557,064;25,96
557,311;26,03
557,557;26,09
557,804;26,17
558,051;26,24
558,298;26,32
558,544;26,39
558,791;26,48
559,038;26,55
559,284;26,63
559,531;26,7
559,778;26,78
560,024;26,88
560,271;26,97
560,517;27,05
560,764;27,14
561,011;27,23
561,257;27,32
561,504;27,42
561,75;27,51
561,997;27,58
562,243;27,68
562,489;27,77
562,736;27,87
562,982;27,96
563,229;28,06
563,475;28,15
563,721;28,26
